bienvenidos	Herzlich Willkommen
buenos dias	Guten Morgen, Guten Tag
bueno/a	gut
dia	Tag
soy	Ich bin
de	aus, von
y	und
hola	Hallo
quŽ tal	Wie geht's
buenas tardes	Guten Tag, Guten Abend
la tarde	Nachmittag, frŸher Abend
me llamo	ich hei§e
espa–a	Spanien
buenas noches	Guten Abend, Gute Nacht
la noche	Nacht
tambiŽn	auch
almenia	Deutschland
todos/as	alle
argentina	Argentinien
colombia	Kolumbien
el actor	Schauspieler
la actriz	Schauspielerin
el cine	Kino
trabaja	er/sie/es arbeitet, Sie arbeiten
mucho/a	viel
con	mit
tiene	er/sie/es hat, Sie haben
por	fŸr, pro
la pelicula	Film
el libro	Buch
mundo	Welt
en todo el mundo	auf der ganzen Welt
en	in, auf
todo/a	alles, ganz, jeder
la escultura	Skulptur
muy	sehr
grande	gro§
gordo/a	dick
famoso/a	berŸhmt
la profesi›n	Beruf
el fútbol	Fu§ball
el cantante	SŠnger
la cantante	SŠngerin
canta	er/sie/es singt, Sie singen
espa–ol/a	spanisch
inglŽs/esa	englisch
quiŽn	Wer?
de d›nde	Woher?
c›mo	Wie?
la fiesta	Feier, Party
el cumplea–os	Geburtstag
no	nein, nicht
si	ja
verdad	nicht wahr?
quŽ	was? vor Substantiv: welche/r/s...? was fŸr ein..?
la ciudad	Stadt
la capital	Hauptstadt
el amigo	Freund
la amiga	Freundin
hispanoamŽrica	Hispanoamerika
la cultura	Kultur
mira	Schau mal!
mirar	sehen, ansehen
latinoamŽrica	Lateinamerika
decubrir	etw. entdecken
te toca a ti	du bist dran
el aeropuerto	Flughafen
el se–or	Herr
la se–ora	Frau
mucho gusto	Sehr erfreut!
igualmente	gleicherma§en, ebenfalls
austria	Österreich
suiza	Schweiz
a	nach, zu
gracias	danke
correcto/a	richtig
falso/a	falsch
el pais	Land
el nombre
el apellido	Nachname
el cliente	Kunde
la cliente	Kundin
importante	wichtig
el vino	Wein
la guitarra	Gitarre
el colega	Kollege
la colega	Kollegin
el agua	Wasser
turquia	TŸrkei
la música	Musik
la cruz	Kreuz
el centro	Zentrum
amŽrica	Amerika
la playa	Strand
feliz cumplea–os	Herzlichen GlŸckwunsch zum Geburtstag.
feliz	glŸcklich
el cava	spanischer Sekt
o	oder
el chico	Junge
el chica	MŠdchen
el argentino	Argentinier
la argentina	Argentinierin
no?	nicht wahr?
pero	aber
el telŽfono	Telefon
el arbol	Baum
aprender	etw. (er)lernen
mejor	besser
el número	Nummer, Zahl
cultural	kulturell
hispano/a	spanisch, hispanisch
la salsa	So§e
el asado	Braten
argentino/a	argentinisch
la isla	Insel
el mercado	Markt
indigena	einheimisch, eingeboren
la comida	Essen, Mittagessen
exquisito/a	ausgezeichnet, kšstlich
el monumento	Denkmal
la civilizaci›n	Zivilisation, Kultur
la naturaleza	Natur
el ejercicio	Übung
el repaso	Wiederholung
de tapas	auf Tapastour
la tapa	Deckel, Tapa
bien	gut
estar	sein
asi asi	so lala
asi	so, auf diese Weise
la gente	Leute
es que	denn, weil
aqui	hier
ser verdad	stimmen
la verdad	Wahrheit
pues	nun, also
toma	er/sie/es nimmt, Sie nehmen
la ca–a	kleines Glas Fassbier
entiendo	ich versteh
hay	es gibt
bastante	ziemlich
regular	normal, mittelmŠ§ig, es geht so
mal	schlecht
hombre	Ey! Mensch!
la sorpresa	Überraschung
como	wie
siempre	immer
este/esta	diese/r/s
el hombre	Mann, Mensch
la mujer	Frau
esto	dies, das
el chorizo	Chorizo
la tortilla	Tortilla
la croqueta	Krokette
el jam›n	Schinken
el pulpo	Krake, Oktupus
la empanadilla	Empanadilla
el calmar	Tintenfisch
la aceituna	Olive
la gamba	Garnele, Krabbe
el mejill›n	Miesmuschel
significa	er/sie/es bedeutet
oiga	Hšren Sie! Hallo!
por favor	bitte
el camarero	Kellner
la camarera	Kellnerin
el vino blanco	Wei§wein
blanco/a	wei§
el tinto	Rotwein
y de tapa	Was darf es von den Tapas sein?
el pincho	Appetithappen
sŽ	ich wei§, kann
para	fŸr, nach
el vino tinto	Rotwein
el cafŽ	Kaffee
el zumo	Saft
la cerveza	Bier
la raci›n	Portion
el boquer›n	Sardelle
pagar	(etw.) bezahlen, zahlen
hoy	heute
llegamos	wir kommen, wir kommen an
tarde	spŠt
comer	essen
ahora	jetzt
la pr›xima vez	nŠchstes Mal
pr›ximo/a	nŠchste/r/s
la vez	Mal
vale	einverstanden, ok
cuanto es	Was machst das?
cuanto/a	wie viel...?
hasta luego	Bis spŠter!
adi›s	TschŸss. Auf Wiedersehen!
oye	Hšr mal!
algo	etwas
despuŽs de	nach, hinter
solo	nur
el aperitivo	Aperitif. Appetithappen.
último/a	letze/r/s
la ronda	Runde
la plaza	Hauptplatz
necesito	ich benštige, brauche
beber	trinken
la cafeteria	CafŽ
el cortado	Espresso mit etwas Milch
el cafŽ con leche	Michkaffee
la leche	Milch
hasta ma–ana	Bis morgen!
hasta	bis
hasta la pr›xima	Bis zum nŠchsten Mal!
chao	TschŸss!
quŽ van a tomar	Was werden Sie nehmen?
el origen	Ursprung
tapar	zudecken
la hora	Stunde, Zeit, Uhrzeit
la propina	Trinkgeld
la barra	Stange, Theke
la mesa	Tisch
caliente	hei§
frio/a	kalt
el minidiccionario	Miniwšrterbuch
el cocinero	Koch
la cocinera	Kšchin
el escritor	Schriftsteller
la escritora	Schriftstellerin
el arquitecto	Architekt
la arquitecta	Architektin
el puente	BrŸcke
la novela	Roman
el intŽrprete	Dolmetscher
la intŽrprete	Dolmetscherin
el conquistador	Eroberer
la conqui
la canci›n	Lied
el ama de casa	Hausfrau
el taxista	Taxifahrer
la taxista	Taxifahrerin
el vendedor	VerkŠufer
la vendedora	VerkŠuferin
el mŽcanico	Mechaniker
la mŽcanica	Mechanikerin
el desempleado	Arbeitsloser
la desempleada	Arbeitslose
la receta	Rezept
la estrella	Stern
mas	mehr
el empleado	Angestellter
la empleada	Angestellte
el periodista	Journalist
la periodista	Journalistin
el mŽdico	Arzt
la mŽdica	Ärztin
el profesor	Lehrer
la profesora	Lehrerin
el representante	Vertreter
la representante	Vertreterin
el estudiante	Student
la estudiante	Studentin
el dentista	Zahnarzt
la dentista	ZahnŠrztin
el deportista	Sportler
la deportista	Sportlerin
la cita	Verabredung, Termin
el enfermero	Krankenpfleger
la enfermera	Krankenpflegerin
esperar	warten, hoffen
el momento	Moment
per supuesto	selbstverstŠndlich
el secretario	SekretŠr
la secretaria	SekretŠrin
el taller	Werkstatt
la oficina	BŸro
don/do–a	respektvolle Anrede
el compa–ero	Kollege
la compa–era	Kollegin
mismo/a	gleiche/r/s
la empresa	Firma
la fabrica	Fabrik
el traductor	Übersetzer
la traductora	Übersetzerin
el espa–ol	Spanisch
la escuela de idiomas	Sprachenschule
la escuela	Schule
el idioma	Sprache
el lugar de trabajo	ArbeitsstŠtte
el lugar	Ort, Stelle
el trabajo	Arbeit
la farmacia	Apotheke
la clinica	Klinik
la tienda	Laden, GeschŠft
en casa	zu Hause
la casa	Haus
el abogado	Rechtsanwalt
la abogada	RechtsanwŠltin
D›nde	Wo?
C›mo se dice en espa–ol	Wie sagt man...auf Spanisch
el peluquero	Friseur
la peluquera	Friseurin
claro	klar, natŸrlich
la perluqueria	Friseur(salon)
vivir	leben, wohnen
en	in
el estadio de fútbol	Fu§ballstadion
la ›pera	Oper
el/la fútbolista	Fu§baller/in
el pintor	Maler
la pintora	Malerin
Italia	Italien
cerca de	in der NŠhe von
escribir	(etw.) schreiben
el peri›dico	Zeitung
Francia	Frankreich
el francŽs	Franzšsisch
la universidad	UniversitŠt
Polonia	Polen
el rey	Kšnig
la reina	Kšnigin
la calle	Stra§e
el hospital	Krankenhaus
general	allgemein
el m›vil	Handy
el tiempo	Zeit, Wetter
el panadero	BŠcker
la panadera	BŠckerin
la panaderia	BŠckerei
estudiar	lernen, studieren
el inglŽs	Englisch
la clase	Klasse, Unterricht
por las noches	abends, nachts
el personaje	Persšnlichkeit
la nacionalidad	NationalitŠt
la fecha	Datum
el nacimiento	Geburt
octubre	Oktober
el juez	Richter
la jueza	Richterin
contra	gegen
el narcotrafico	Drogenhandel
marzo	MŠrz
el escalador	Bergsteiger
la escaladora	Bergsteigerin
viajar	reisen
a	nach
la monta–a	Berg
alto/a	hoch, gro§
la entrevista	Interview
la revista	Zeitschrift
el ni–o	Kind, kleiner Junge	
la ni–a	Kind, kleines MŠdchen
febrero	Februar
el presentador	Moderator
la presentadora	Moderatorin
el politico	Politiker
la politica	Politikerin
latinoamericano/a	lateinamerikanisch
diferente	verschieden, unterschiedlich
la cocina	KŸche
la fundaci›n	Stiftung
nuevo/a	neu
el plato	Teller, Gericht
conocido/a	bekannt
el due–o	EigentŸmer
al due–a	EigentŸmerin
asimismo	ebenfalls, auch
ense–ar	lehren, beibringen
cocinar	kochen
de manera facil	auf einfache Art und Weise
barato/a	billig
snao/a	gesund
rico/a	reich
el saludo	Gru§
el beso	Kuss
al abrazo	Umarmung
la mano	Hand
saludar	grŸ§en, begrŸ§en
enre	zwischen unter
perdone	Verzeihung
perdonar	entschuldigen, verzeihen
incluso	sogar
el padre	Vater
otro/a	andere/r/s
la madre	Mutter
la palabra	Wort
joven	jung
soltero/a	ledig
generalmente	im Allgemeinen
utilizar	benutzen, verwenden
especialmente	besonders
a veces	manchmal
hablar	sprechen
si	wenn
seguro/a	sicher
segundo/a	zweite/r/s
por ejemplo	zum Beispiel
el hijo	Sohn
la hija	Tochter
cuando	wenn
usar	benutzen, verwenden
mayor	grš§er, Šlter
el documento	Dokument
oficial	offiziell
jugar	spielen
la bebida	GetrŠnk
la despedida	Abschied, Verabschiedung
el lugar de residencia	Wohnort
el carril	Schiene
rapido	schnell
rodar	rollen
la rueda	Rad
el ferrocarril	Eisenbahn
la culebra	Schlange
se muri›	er/sie/es ist gestorben
mayo	Mai
estar invitado/a	eingeladen sein
el beso	Kuss
ya	schon
tener...a–os	...Jahre alt sein
el a–o	Jahr
felicidades	Herzlichen GlŸckwunsch
a ver	mal sehen
quŽ	wie..!
desear	wŸnschen
el mes	Monat
enero	Januar
abril	April
junio	Juni
